RICO GUI,description,method_name,method_id,uuid,key
4003,"A page from a translation app, that offers translations to italian for commonly used english phrases, with the possibilty to listen to the translation afterwards.",01_baselines_zs_instruction,1,6c1a55c2-0417-42f3-a586-88a22f5d6b31,0001
4003,"A page from a translation app, that offers translations to italian for commonly used english phrases, with the possibilty to listen to the translation afterwards.",01_baselines_zs_cot,2,b0330c59-cc2e-4756-a325-e45f46e8e94f,0002
4003,"A page from a translation app, that offers translations to italian for commonly used english phrases, with the possibilty to listen to the translation afterwards.",01_baselines_zs_cot_content,3,d7a8ba95-3ad2-4539-9660-34e539a09fce,0003
4003,"A page from a translation app, that offers translations to italian for commonly used english phrases, with the possibilty to listen to the translation afterwards.",02_prompt_decomposition_pd_zs,4,8af6f672-a331-456c-ab78-46d8c702d5d3,0004
4003,"A page from a translation app, that offers translations to italian for commonly used english phrases, with the possibilty to listen to the translation afterwards.",02_prompt_decomposition_pd_zs_cot,5,8c0f4962-dfca-4b96-959f-cd39567fca15,0005
4003,"A page from a translation app, that offers translations to italian for commonly used english phrases, with the possibilty to listen to the translation afterwards.",02_prompt_decomposition_pd_zs_content,6,f8ab2509-b1e9-4466-a0cb-c63cea3a9241,0006
4003,"A page from a translation app, that offers translations to italian for commonly used english phrases, with the possibilty to listen to the translation afterwards.",03_rag_zs_k_1_direct,7,cda51b6e-bc47-4d77-bbed-f17fe876feb9,0007
4003,"A page from a translation app, that offers translations to italian for commonly used english phrases, with the possibilty to listen to the translation afterwards.",03_rag_zs_k_3_direct,8,2cd6205a-5f84-4cdf-8616-127cf12225cc,0008
4003,"A page from a translation app, that offers translations to italian for commonly used english phrases, with the possibilty to listen to the translation afterwards.",03_rag_zs_k_5_direct,9,803c956e-7a22-432f-abe1-92442eb11479,0009
4003,"A page from a translation app, that offers translations to italian for commonly used english phrases, with the possibilty to listen to the translation afterwards.",03_rag_zs_k_7_direct,10,f0f9f2b9-07a3-440d-87af-0f26008dd813,0010
4003,"A page from a translation app, that offers translations to italian for commonly used english phrases, with the possibilty to listen to the translation afterwards.",03_rag_zs_k_3_direct_content,11,70dfda77-6c9f-44cf-b004-37dadf2c32f5,0011
4003,"A page from a translation app, that offers translations to italian for commonly used english phrases, with the possibilty to listen to the translation afterwards.",03_rag_zs_k_3_direct_pd_zs,12,79fa2ea9-3274-4812-9c26-212b11119289,0012
4003,"A page from a translation app, that offers translations to italian for commonly used english phrases, with the possibilty to listen to the translation afterwards.",03_rag_zs_k_3_feat_layout,13,78bae775-04ad-4d3c-8f2e-7c32031209a8,0013
4003,"A page from a translation app, that offers translations to italian for commonly used english phrases, with the possibilty to listen to the translation afterwards.",04_self_critique_base_zs_instruction_k_1,14,e6118f09-4678-42f9-9a7d-b0242bcc9493,0014
